MO    JoAnn Emerson      R    Y       Y     Y     Y
MN    James Oberstar     D    N       Y     N     Y
TX    Kevin Brady        R    Y       Y     Y     Y
NJ    Frank Pallone      D    Y       N     N     Y
CA    George Miller      D    N       N     -     Y
NY    Michael McNulty    D    Y       Y     N     Y
MS    Gene Taylor        D    Y       Y     N     Y
NY    John Sweeney       R    Y       Y     Y     N
CA    William Thomas     R    Y       Y     Y     N
OK    Tom Cole           R    Y       Y     Y     N
NY    Nita Lowey         D    N       N     N     Y
NY    Gary Ackerman      D    N       N     N     Y
AZ    Edward Pastor      D    N       N     N     -
FL    L. Diaz-Balart     R    Y       Y     Y     N
TN    John Duncan        R    Y       Y     Y     Y
NM    Tom Udall          D    N       N     N     Y
GA    James Marshall     D    Y       Y     N     Y
CA    Howard Berman      D    N       N     N     N
OH    Robert Ney         R    Y       Y     Y     N
AR    Victor Snyder      D    N       N     N     Y
NY    Charles Rangel     D    N       N     N     Y
OH    Michael Turner     R    Y       Y     Y     N
TN    Harold Ford        D    Y       Y     N     -
CA    Fortney Stark      D    N       N     N     Y
FL    Robert Wexler      D    -       N     N     Y
CA    Duncan Hunter      R    Y       Y     Y     Y
KS    Dennis Moore       D    N       N     N     Y
IL    Bobby Rush         D    N       N     Y     N
OH    Sherrod Brown      D    Y       N     N     Y
CA    Ken Calvert        R    Y       Y     Y     N
TX    James Turner       D    Y       Y     Y     Y
OH    Ralph Regula       R    Y       Y     Y     N
OH    David Hobson       R    Y       Y     Y     N
GA    Max Burns          R    Y       Y     Y     N
PA    Michael Doyle      D    Y       Y     Y     Y
RI    James Langevin     D    Y       Y     N     Y
VA    James Moran        D    N       N     N     Y
SC    John Spratt        D    Y       Y     N     Y
NV    James Gibbons      R    Y       Y     Y     N
FL    Mark Foley         R    Y       Y     Y     N
CA    Dana Rohrabacher   R    Y       Y     Y     Y
TN    John Tanner        D    N       Y     N     N
FL    Connie Brown       D    Y       N     N     Y
NC    Richard Burr       R    Y       Y     Y     N
MO    Karen McCarthy     D    N       N     -     N
MA    Barney Frank       D    N       N     N     Y
WV    Shelley Capito     R    Y       Y     Y     Y
CO    Marylin Musgrave   R    Y       Y     Y     Y
CA    Barbara Lee        D    N       N     N     Y
SC    Henry Brown        R    Y       Y     Y     Y
WV    Nick Rahall        D    Y       Y     N     Y
FL    David Weldon       R    Y       Y     Y     N
CA    Bob Filner         D    N       N     N     Y
TX    Samuel Johnson     R    Y       Y     Y     N
MD    Albert Wynn        D    Y       N     N     Y
PA    Donald Sherwood    R    Y       Y     Y     Y
FL    Jeff Miller        R    Y       Y     Y     N
TN    William Jenkins    R    Y       Y     Y     Y
LA    Christopher John   D    Y       Y     Y     N
VA    Robert Goodlatte   R    Y       Y     Y     Y
AL    Terry Everett      R    Y       Y     Y     Y
VA    Virgil Goode       R    Y       Y     N     Y
ME    Thomas Allen       D    N       N     N     Y
CA    Darrell Issa       R    Y       Y     Y     N
PA    Paul Kanjorski     D    Y       Y     Y     Y
OH    Ted Strickland     D    Y       Y     N     Y
CT    Christopher Shays  R    N       Y     N     Y
MO    Samuel Graves      R    Y       Y     Y     N
KY    Ernest Fletcher    R    Y       Y     Y     N
MI    Dale Kildee        D    Y       Y     N     Y
AZ    James Kolbe        R    Y       N     Y     Y
LA    Rodney Alexander   D    Y       Y     Y     N
PA    Philip English     R    Y       Y     Y     N
MD    D. Ruppersberger   D    Y       Y     N     Y
TX    Kay Granger        R    Y       Y     Y     N
NC    Frank Ballance     D    N       N     N     Y
MO    Ike Skelton        D    Y       Y     N     Y
CA    Dennis Cardoza     D    Y       N     N     Y
IL    Timothy Johnson    R    Y       Y     Y     N
KS    Jim Ryun           R    Y       Y     Y     N
IN    John Hostettler    R    Y       Y     Y     N
MN    Mark Kennedy       R    Y       Y     Y     N
OH    Steven LaTourette  R    Y       Y     Y     Y
MI    John Dingell       D    N       Y     N     N
WA    Brian Baird        D    Y       N     N     Y
OH    Robert Portman     R    Y       Y     Y     N
MI    Thaddeus McCotter  R    Y       Y     Y     N
TX    Max Sandlin        D    Y       Y     Y     Y
MD    Wayne Gilchrest    R    N       Y     Y     Y
NY    Carolyn Maloney    D    N       N     N     Y
OH    Michael Oxley      R    Y       Y     Y     N
PA    James Greenwood    R    N       N     Y     N
CA    Sam Farr           D    N       N     N     N
NC    Cass Ballenger     R    Y       Y     Y     N
PA    Todd Platts        R    Y       Y     Y     Y
NY    Timothy Bishop     D    Y       N     N     Y
NY    Major Owens        D    N       N     N     Y
IA    Leonard Boswell    D    Y       Y     N     Y
NY    Amory Houghton     R    Y       Y     -     N
CA    Elton Gallegly     R    Y       Y     Y     N
AL    Spencer Bachus     R    Y       Y     Y     N
PA    Curtis Weldon      R    Y       Y     Y     -
NY    Peter King         R    Y       Y     Y     N
IN    Mark Souder        R    Y       Y     Y     N
IL    Janice Schakowsky  D    N       N     N     Y
MN    Martin Sabo        D    N       N     N     Y
MN    John Kline         R    Y       Y     Y     N
CT    John Larson        D    -       -     N     Y
MD    Steny Hoyer        D    N       N     N     Y
OR    Earl Blumenauer    D    N       N     -     Y
NJ    Robert Andrews     D    Y       N     N     N
OH    Timothy Ryan       D    N       Y     N     Y
CA    Richard Pombo      R    Y       Y     Y     N
TX    Lloyd Doggett      D    N       N     N     Y
NJ    Christopher Smith  R    Y       Y     N     Y
MO    Kenny Hulshof      R    Y       Y     Y     N
MS    Bennie Thompson    D    Y       N     N     N
WI    Thomas Petri       R    N       Y     N     Y
